Category,Fuel_Type,Financial_Year,Registrations,Year,Is_EV
Cars,Petrol,FY2019,1681582.0,2019,False
Bus,Total,FY2019,106989.0,2019,False
Bus,EV,FY2019,146.0,2019,True
Bus,Diesel,FY2019,90947.0,2019,False
LGV (up to 7/5 tonnes),Total,FY2019,520047.0,2019,False
LGV (up to 7/5 tonnes),EV,FY2019,478.0,2019,True
LGV (up to 7/5 tonnes),Diesel,FY2019,494658.0,2019,False
MGV (7.5-12 tonnes),Total,FY2019,37692.0,2019,False
MGV (7.5-12 tonnes),EV,FY2019,1.0,2019,True
MGV (7.5-12 tonnes),Diesel,FY2019,33528.0,2019,False
HGV (>12 tonnes),Total,FY2019,293107.0,2019,False
HGV (>12 tonnes),EV,FY2019,0.0,2019,True
HGV (>12 tonnes),Diesel,FY2019,292440.0,2019,False
Others,Total,FY2019,943157.0,2019,False
Others,EV,FY2019,289.0,2019,True
All Vehicles,Total,FY2020,24592926.0,2020,False
All Vehicles,EV,FY2020,173613.0,2020,True
All Vehicles,Petrol,FY2020,20724047.0,2020,False
All Vehicles,Diesel,FY2020,2946133.0,2020,False
2W,Total,FY2020,20600931.0,2020,False
2W,EV,FY2020,28147.0,2020,True
2W,Petrol,FY2020,19033151.0,2020,False
3W Passenger,Total,FY2020,620982.0,2020,False
3W Passenger,EV,FY2020,1491.0,2020,True
3W Passenger,Diesel,FY2020,252799.0,2020,False
3W Passenger,Petrol/CNG,FY2020,172802.0,2020,False
3W Goods,Total,FY2020,128334.0,2020,False
3W Goods,EV,FY2020,342.0,2020,True
3W Goods,Diesel,FY2020,119735.0,2020,False
3W Goods,CNG,FY2020,46.0,2020,False
Cars,Total,FY2020,2955833.0,2020,False
Cars,EV,FY2020,3215.0,2020,True
Cars,Diesel,FY2020,943765.0,2020,False
Cars,Petrol,FY2020,1662092.0,2020,False
Bus,Total,FY2020,110007.0,2020,False
Bus,EV,FY2020,492.0,2020,True
Bus,Diesel,FY2020,100426.0,2020,False
LGV (up to 7/5 tonnes),Total,FY2020,574797.0,2020,False
LGV (up to 7/5 tonnes),EV,FY2020,43.0,2020,True
LGV (up to 7/5 tonnes),Diesel,FY2020,509290.0,2020,False
MGV (7.5-12 tonnes),Total,FY2020,39669.0,2020,False
MGV (7.5-12 tonnes),EV,FY2020,0.0,2020,True
MGV (7.5-12 tonnes),Diesel,FY2020,31885.0,2020,False
HGV (>12 tonnes),Total,FY2020,215830.0,2020,False
HGV (>12 tonnes),EV,FY2020,0.0,2020,True
HGV (>12 tonnes),Diesel,FY2020,210498.0,2020,False
Others,Total,FY2020,874245.0,2020,False
Others,EV,FY2020,29.0,2020,True
All Vehicles,Total,FY2021,17521374.0,2021,False
All Vehicles,EV,FY2021,142419.0,2021,True
All Vehicles,Petrol,FY2021,15081341.0,2021,False
All Vehicles,Diesel,FY2021,1791005.0,2021,False
2W,Total,FY2021,14279428.0,2021,False
2W,EV,FY2021,49486.0,2021,True
2W,Petrol,FY2021,13220064.0,2021,False
3W Passenger,Total,FY2021,143051.0,2021,False
3W Passenger,EV,FY2021,1667.0,2021,True
3W Passenger,Diesel,FY2021,58844.0,2021,False
3W Passenger,Petrol/CNG,FY2021,13496.0,2021,False
3W Goods,Total,FY2021,66925.0,2021,False
3W Goods,EV,FY2021,843.0,2021,True
3W Goods,Diesel,FY2021,59951.0,2021,False
3W Goods,CNG,FY2021,5097.0,2021,False
Cars,Total,FY2021,2570017.0,2021,False
Cars,EV,FY2021,5901.0,2021,True
Cars,Diesel,FY2021,430733.0,2021,False
Cars,Petrol,FY2021,1809794.0,2021,False
Bus,Total,FY2021,16028.0,2021,False
Bus,EV,FY2021,380.0,2021,True
Bus,Diesel,FY2021,14353.0,2021,False
LGV (up to 7/5 tonnes),Total,FY2021,346375.0,2021,False
LGV (up to 7/5 tonnes),EV,FY2021,31.0,2021,True
LGV (up to 7/5 tonnes),Diesel,FY2021,265485.0,2021,False
MGV (7.5-12 tonnes),Total,FY2021,21924.0,2021,False
MGV (7.5-12 tonnes),EV,FY2021,0.0,2021,True
MGV (7.5-12 tonnes),Diesel,FY2021,20357.0,2021,False
HGV (>12 tonnes),Total,FY2021,87207.0,2021,False
HGV (>12 tonnes),EV,FY2021,0.0,2021,True
HGV (>12 tonnes),Diesel,FY2021,82316.0,2021,False
Others,Total,FY2021,963040.0,2021,False
Others,EV,FY2021,35.0,2021,True
All Vehicles,Total,FY2022,18445111.0,2022,False
All Vehicles,EV,FY2022,459065.0,2022,True
All Vehicles,Petrol,FY2022,15289445.0,2022,False
All Vehicles,Diesel,FY2022,1972825.0,2022,False
2W,Total,FY2022,14645293.0,2022,False
2W,EV,FY2022,279893.0,2022,True
2W,Petrol,FY2022,13272505.0,2022,False
3W Passenger,Total,FY2022,188762.0,2022,False
3W Passenger,EV,FY2022,5207.0,2022,True
3W Passenger,Diesel,FY2022,34482.0,2022,False
3W Passenger,Petrol/CNG,FY2022,15706.0,2022,False
3W Goods,Total,FY2022,79950.0,2022,False
3W Goods,EV,FY2022,6603.0,2022,True
3W Goods,Diesel,FY2022,52226.0,2022,False
3W Goods,CNG,FY2022,18416.0,2022,False
Cars,Total,FY2022,2927142.0,2022,False
Cars,EV,FY2022,21194.0,2022,True
Cars,Diesel,FY2022,546141.0,2022,False
Cars,Petrol,FY2022,1956719.0,2022,False
Bus,Total,FY2022,20893.0,2022,False
Bus,EV,FY2022,1194.0,2022,True
Bus,Diesel,FY2022,17808.0,2022,False
LGV (up to 7/5 tonnes),Total,FY2022,440516.0,2022,False
LGV (up to 7/5 tonnes),EV,FY2022,1021.0,2022,True
LGV (up to 7/5 tonnes),Diesel,FY2022,287321.0,2022,False
MGV (7.5-12 tonnes),Total,FY2022,37199.0,2022,False
MGV (7.5-12 tonnes),EV,FY2022,0.0,2022,True
MGV (7.5-12 tonnes),Diesel,FY2022,21324.0,2022,False
HGV (>12 tonnes),Total,FY2022,171458.0,2022,False
HGV (>12 tonnes),EV,FY2022,0.0,2022,True
HGV (>12 tonnes),Diesel,FY2022,155788.0,2022,False
Others,Total,FY2022,947666.0,2022,False
Others,EV,FY2022,99.0,2022,True
All Vehicles,Total,FY2023,22331887.0,2023,False
All Vehicles,EV,FY2023,1183331.0,2023,True
All Vehicles,Petrol,FY2023,17559546.0,2023,False
All Vehicles,Diesel,FY2023,2447274.0,2023,False
2W,Total,FY2023,21763966.0,2023,False
2W,EV,FY2023,783373.0,2023,True
2W,Petrol,FY2023,15301431.0,2023,False
3W Passenger,Total,FY2023,318312.0,2023,False
3W Passenger,EV,FY2023,15374.0,2023,True
3W Passenger,Diesel,FY2023,51450.0,2023,False
3W Passenger,Petrol/CNG,FY2023,17298.0,2023,False
3W Goods,Total,FY2023,97143.0,2023,False
3W Goods,EV,FY2023,16067.0,2023,True
3W Goods,Diesel,FY2023,55472.0,2023,False
3W Goods,CNG,FY2023,22748.0,2023,False
Cars,Total,FY2023,3615501.0,2023,False
Cars,EV,FY2023,54471.0,2023,True
Cars,Diesel,FY2023,686796.0,2023,False
Cars,Petrol,FY2023,2192892.0,2023,False
Bus,Total,FY2023,56171.0,2023,False
Bus,EV,FY2023,2008.0,2023,True
Bus,Diesel,FY2023,48010.0,2023,False
LGV (up to 7/5 tonnes),Total,FY2023,559798.0,2023,False
LGV (up to 7/5 tonnes),EV,FY2023,453.0,2023,True
LGV (up to 7/5 tonnes),Diesel,FY2023,395725.0,2023,False
MGV (7.5-12 tonnes),Total,FY2023,37537.0,2023,False
MGV (7.5-12 tonnes),EV,FY2023,0.0,2023,True
MGV (7.5-12 tonnes),Diesel,FY2023,27980.0,2023,False
HGV (>12 tonnes),Total,FY2023,250559.0,2023,False
HGV (>12 tonnes),EV,FY2023,183.0,2023,True
HGV (>12 tonnes),Diesel,FY2023,236679.0,2023,False
Others,Total,FY2023,1039272.0,2023,False
Others,EV,FY2023,100.0,2023,True
